code,month,year,total_flights,total_delays,total_time,ratio_delayed
ATL,January,2005,35048,8355,465533,23.838735448527736
DEN,January,2005,12687,3153,182797,24.852210924568453
IAD,January,2005,12381,2430,134881,19.626847589047735
ORD,January,2005,28194,9178,638894,32.55302546641129
SAN,January,2005,7283,1952,91552,26.802141974461076
SFO,January,2005,10274,2816,157275,27.40899357601713
SLC,January,2005,12000,2525,130332,21.041666666666668
ATL,February,2005,33702,9195,527523,27.283247285027596
DEN,February,2005,11480,1788,79349,15.574912891986061
IAD,February,2005,10042,1639,78878,16.32144991037642
ORD,February,2005,25665,5269,294866,20.529904539255796
SAN,February,2005,6543,1635,72676,24.988537368179735
SFO,February,2005,9327,2122,110995,22.75115256781387
SLC,February,2005,12404,1947,84874,15.69654950016124
ATL,March,2005,37806,9431,691887,24.945775802782627
DEN,March,2005,12979,2062,97456,15.887202403883197
IAD,March,2005,11249,1921,105404,17.077073517646014
ORD,March,2005,28785,6544,359696,22.734062879972207
SAN,March,2005,7298,1324,54626,18.14195670046588
SFO,March,2005,10532,2148,118617,20.394986707178123
SLC,March,2005,14115,2426,103231,17.18738930216082
ATL,April,2005,36881,5748,397044,15.585260703343184
DEN,April,2005,12275,1476,68750,12.024439918533606
IAD,April,2005,10997,1508,80062,13.712830772028736
ORD,April,2005,27634,3786,188222,13.700513859738003
SAN,April,2005,7091,1095,42462,15.442109716542095
SFO,April,2005,10210,1470,73097,14.397649363369247
SLC,April,2005,13398,1546,63090,11.539035676966712
ATL,May,2005,38076,5813,338174,15.266834751549533
DEN,May,2005,16211,2174,102138,13.410647091481092
IAD,May,2005,11189,2020,93711,18.05344534810975
ORD,May,2005,28523,5195,335909,18.21337166497213
SAN,May,2005,7512,1117,47583,14.86954206602769
SFO,May,2005,10954,2217,122879,20.239182033960198
SLC,May,2005,13822,1480,64956,10.707567645782087
ATL,June,2005,37209,10986,630716,29.525114891558495
DEN,June,2005,16953,3310,183097,19.52456792308146
IAD,June,2005,10743,2926,196285,27.236339942288
ORD,June,2005,27756,7643,480472,27.536388528606427
SAN,June,2005,7574,1661,78675,21.930287826775814
SFO,June,2005,11089,2978,158460,26.85544233023717
SLC,June,2005,13860,2203,98063,15.894660894660895
ATL,July,2005,37584,13699,989367,36.449020859940404
DEN,July,2005,17989,3323,187112,18.472399799877703
IAD,July,2005,11152,3245,218403,29.09791965566714
ORD,July,2005,28283,7641,557902,27.016228830039246
SAN,July,2005,7862,1769,91481,22.500635970490972
SFO,July,2005,11579,2548,146341,22.005354521115812
SLC,July,2005,14472,2257,106114,15.595632946379215
ATL,August,2005,37886,12861,810633,33.94657657182073
DEN,August,2005,17827,2682,131957,15.044595276827286
IAD,August,2005,11064,2133,111064,19.27874186550976
ORD,August,2005,28662,5533,308603,19.304305352034053
SAN,August,2005,7946,1629,72704,20.50088094638812
SFO,August,2005,11598,2638,139683,22.74530091395068
SLC,August,2005,14630,2206,97444,15.078605604921394
ATL,September,2005,33631,4731,216147,14.067378311676727
DEN,September,2005,16297,1632,77057,10.014113026937473
IAD,September,2005,9398,1134,51294,12.066397105767185
ORD,September,2005,27474,4717,268869,17.168959743757732
SAN,September,2005,7451,1286,47963,17.25942826466246
SFO,September,2005,10765,2212,103135,20.548072457036692
SLC,September,2005,13720,1641,65728,11.960641399416911
ATL,October,2005,35282,7493,388718,21.237458193979933
DEN,October,2005,16498,1876,100663,11.371075281852345
IAD,October,2005,9262,1447,68703,15.62297559922263
ORD,October,2005,29083,3538,189068,12.16518240896744
SAN,October,2005,7641,1321,53688,17.288313048030364
SFO,October,2005,11104,2134,109836,19.21829971181556
SLC,October,2005,13962,1446,60784,10.35668242372153
ATL,November,2005,33063,7140,447832,21.595136557481172
DEN,November,2005,15317,1913,82485,12.489390872886336
IAD,November,2005,7408,1021,53799,13.782397408207345
ORD,November,2005,28453,6466,383760,22.725195937159526
SAN,November,2005,7239,976,38247,13.482525210664456
SFO,November,2005,10584,2495,131876,23.57331821617536
SLC,November,2005,12970,1947,75354,15.011565150346954
ATL,December,2005,33632,9899,558590,29.43327783063749
DEN,December,2005,16404,4293,206363,26.170446232626187
IAD,December,2005,7494,1466,72899,19.56231651988257
ORD,December,2005,29229,9479,609512,32.43012077046769
SAN,December,2005,7590,1810,77392,23.847167325428195
SFO,December,2005,10972,4307,311645,39.25446591323369
SLC,December,2005,11469,2644,113820,23.053448426192343
ATL,January,2006,33274,8109,548821,24.370379275109695
DEN,January,2006,17971,2958,140028,16.4598519837516
IAD,January,2006,6917,1458,91215,21.07850224085586
ORD,January,2006,30828,7177,441216,23.280783703127028
SAN,January,2006,7598,1251,55793,16.4648591734667
SFO,January,2006,10727,2693,140948,25.104875547683413
SLC,January,2006,11423,1954,80591,17.10583909655957
ATL,February,2006,30438,8013,433210,26.325645574610686
DEN,February,2006,16751,3839,189747,22.918034744194376
IAD,February,2006,7078,1233,72634,17.420175190731847
ORD,February,2006,28150,6545,398509,23.25044404973357
SAN,February,2006,6962,1740,80502,24.992818155702384
SFO,February,2006,9742,3048,161355,31.287210018476696
SLC,February,2006,10375,2200,94857,21.204819277108435
ATL,March,2006,34988,7870,386308,22.493426317594604
DEN,March,2006,19193,4622,238803,24.081696451831398
IAD,March,2006,8256,1353,79756,16.388081395348838
ORD,March,2006,31685,9608,696455,30.32349692283415
SAN,March,2006,7882,1897,80736,24.067495559502664
SFO,March,2006,10964,4117,240083,37.55016417365925
SLC,March,2006,11997,2636,130539,21.972159706593313
ATL,April,2006,33251,7104,381112,21.3647709843313
DEN,April,2006,18308,2744,129465,14.987983395237055
IAD,April,2006,7963,1389,76429,17.443174682908452
ORD,April,2006,30698,7637,510107,24.87784220470389
SAN,April,2006,7468,1667,69846,22.32190680235672
SFO,April,2006,10824,3413,186825,31.531781226903178
SLC,April,2006,11402,1486,69039,13.032801262936328
ATL,May,2006,34291,7534,375984,21.97077950482634
DEN,May,2006,19932,3114,153881,15.623118603251054
IAD,May,2006,8085,1525,85115,18.86209029066172
ORD,May,2006,31976,8995,684128,28.13047285464098
SAN,May,2006,7896,1343,57310,17.008611955420466
SFO,May,2006,11105,2347,113322,21.134624043223774
SLC,May,2006,11783,1163,53456,9.87015191377408
ATL,June,2006,33787,8470,559269,25.06881344895966
DEN,June,2006,20096,4082,222066,20.3125
IAD,June,2006,7838,2188,176243,27.915284511354937
ORD,June,2006,31286,8121,530444,25.957297193632932
SAN,June,2006,7893,1656,75457,20.980615735461804
SFO,June,2006,11128,3107,162368,27.920560747663554
SLC,June,2006,12155,1926,89041,15.845331139448787
ATL,July,2006,35419,8836,485791,24.947062311188912
DEN,July,2006,20934,4157,243299,19.857647845610014
IAD,July,2006,8018,2292,167129,28.585682215016213
ORD,July,2006,31890,8457,617666,26.519285042333017
SAN,July,2006,8173,1790,80340,21.901382601248013
SFO,July,2006,11625,2561,155629,22.03010752688172
SLC,July,2006,12847,1799,82120,14.003269245738304
ATL,August,2006,35276,9726,587253,27.57115319197188
DEN,August,2006,21498,3708,193388,17.24811610382361
IAD,August,2006,8330,1750,110378,21.008403361344538
ORD,August,2006,32338,8769,595892,27.11670480549199
SAN,August,2006,8231,1633,69869,19.839630664560808
SFO,August,2006,11850,3212,167448,27.10548523206751
SLC,August,2006,12942,1742,78206,13.460052542110956
ATL,September,2006,32927,11991,721245,36.4169222826252
DEN,September,2006,19568,3547,174510,18.12653311529027
IAD,September,2006,7744,1640,105623,21.17768595041322
ORD,September,2006,30768,9052,681860,29.420176807072284
SAN,September,2006,7593,1391,57774,18.319504807059133
SFO,September,2006,10821,2472,131969,22.84446908788467
SLC,September,2006,11784,1650,76438,14.0020366598778
ATL,October,2006,34692,13124,744230,37.83004727314655
DEN,October,2006,19935,4163,211145,20.882869325307247
